event_id,match_nr,fighter1_url,fighter1_name,fighter2_url,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
957,1,/fighter/Nico-Soe-152649,Nico Soe,/fighter/Muhamad-Haidar-153221,Muhamad Haidar,win,loss,Submission,Armbar,Yuji Shimada,1,01:17
958,9,/fighter/Yoshitaka-Naito-110387,Yoshitaka Naito,/fighter/Joshua-Pacio-154651,Joshua Pacio,win,loss, Submission,Rear-Naked Choke, Yuji Shimada,3, 1:33
958,8,/fighter/Aung-La-N-Sang-13029,Aung La N Sang,/fighter/Michal-Pasternak-110667,Michal Pasternak,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
958,7,/fighter/Phoe-Thaw-201787,Phoe Thaw,/fighter/Saw-Yan-Paing-235755,Saw  Yan Paing,win,loss,TKO,Elbows and Punches,Yuji Shimada,1,03:23
958,6,/fighter/Kevin-Belingon-40881,Kevin Belingon,/fighter/Muin-Gafurov-182325,Muin Gafurov,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
958,5,/fighter/Yusup-Saadulaev-46381,Yusup Saadulaev,/fighter/Jordan-Lucas-125051,Jordan Lucas,win,loss,Submission,Rear-Naked Choke,Yuji Shimada,1,04:27
958,4,/fighter/Bashir-Ahmad-99781,Bashir Ahmad,/fighter/Mahmoud-Deab-Mohamed-127015,Mahmoud Deab Mohamed,win,loss,Submission,Heel Hook,Olivier Coste,1,01:23
958,3,/fighter/Saw-Ba-Oo-201685,Saw Ba Oo,/fighter/Kyal-Sin-Phyo-219091,Kyal  Sin Phyo,win,loss,TKO,Doctor Stoppage,Yuji Shimada,2,02:32
958,2,/fighter/Saw-Yan-Paing-235755,Saw  Yan Paing,/fighter/Ye-Yint-Aung-219073,Ye  Yint Aung,win,loss,Decision,Unanimous,Olivier Coste,2,05:00
958,1,/fighter/Phoe-Thaw-201787,Phoe Thaw,/fighter/Kat-Pali-235753,Kat  Pali,win,loss,TKO,Punches and Elbows,Yuji Shimada,1,00:22
959,11,/fighter/Ev-Ting-60988,Ev Ting,/fighter/Rob-Lisita-49684,Rob Lisita,win,loss, Decision,Unanimous, Olivier Coste,3, 5:00
959,10,/fighter/Shannon-Wiratchai-85142,Shannon Wiratchai,/fighter/Peter-Davis-11783,Peter Davis,win,loss,TKO,Knee and Punches,Joey Lepiten,2,03:32
959,9,/fighter/April-Osenio-191613,April Osenio,/fighter/Ann-Osman-144119,Ann Osman,win,loss,Submission,Guillotine Choke,Olivier Coste,1,04:09
959,8,/fighter/Gilberto-Galvao-18957,Gilberto Galvao,/fighter/Tatsuya-Mizuno-18538,Tatsuya Mizuno,win,loss,Decision,Unanimous,Joey Lepiten,3,05:00
959,7,/fighter/Gianni-Subba-113449,Gianni Subba,/fighter/Yago-Bryan-Farias-de-Morais-154667,Yago Bryan Farias de Morais,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
959,6,/fighter/Agilan-Thani-153265,Agilan Thani,/fighter/Trestle-Tan-144803,Trestle Tan,win,loss,Submission,Rear-Naked Choke,Joey Lepiten,1,02:24
959,5,/fighter/Keanu-Subba-78618,Keanu Subba,/fighter/Waqar-Umar-99773,Waqar Umar,win,loss,TKO,Submission to Punches,Joey Lepiten,1,04:49
959,4,/fighter/Nuerdebieke-Bahetihan-239101,Nuerdebieke Bahetihan,/fighter/Bruno-Pucci-94357,Bruno Pucci,win,loss,KO,Punch,Olivier Coste,1,00:08
959,3,/fighter/Jenny-Huang-195633,Jenny Huang,/fighter/Jeet-Toshi-93219,Jeet Toshi,win,loss,Submission,Arm-Triangle Choke,Olivier Coste,1,03:21
959,2,/fighter/Muhammad-Aiman-170815,Muhammad Aiman,/fighter/Hisyam-Samsudin-181203,Hisyam Samsudin,win,loss,Decision,Unanimous,Joey Lepiten,3,05:00
959,1,/fighter/Rene-Catalan-127675,Rene Catalan,/fighter/Zhang-You-Liang-216471,Zhang  You Liang,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
960,9,/fighter/Luis-Santos-16216,Luis Santos,/fighter/Igor-Svirid-82684,Igor Svirid,win,loss, Decision,Unanimous, Yuji Shimada,3, 5:00
960,8,/fighter/Edward-Kelly-130299,Edward Kelly,/fighter/Vincent-Latoel-4079,Vincent Latoel,win,loss,KO,Punches,Olivier Coste,2,00:57
960,7,/fighter/Marcin-Prachnio-141251,Marcin Prachnio,/fighter/Jake-Butler-122759,Jake Butler,win,loss,TKO,Knees and Punches,Yuji Shimada,1,02:30
960,6,/fighter/Saygid-Guseyn-Arslanaliev-158933,Saygid Guseyn Arslanaliev,/fighter/Jietebusibai-Haolan-186623,Jietebusibai Haolan,win,loss,Submission,Guillotine Choke,Olivier Coste,1,00:26
960,5,/fighter/Anthony-Engelen-126115,Anthony Engelen,/fighter/Sami-Amin-134367,Sami Amin,win,loss,Submission,Rear-Naked Choke,Yuji Shimada,2,00:52
960,4,/fighter/Casey-Suire-100261,Casey Suire,/fighter/Xie-Bin-231979,Xie  Bin,win,loss,Decision,Split,Olivier Coste,3,05:00
960,3,/fighter/Sunoto-Peringkat-192883,Sunoto Peringkat,/fighter/Yohan-Mulia-Legowo-6815,Yohan Mulia Legowo,win,loss,Submission,Rear-Naked Choke,Yuji Shimada,1,04:14
960,2,/fighter/Bernard-Soriano-68319,Bernard Soriano,/fighter/Mario-Satya-Wirawan-92699,Mario Satya Wirawan,win,loss,KO,Spinning Back Fist,Olivier Coste,1,00:15
