id,match_nr,fighter1_url,fighter2_url,results,win_method,win_details,referee,round,time
/events/UFC-263-Adesanya-vs-Vettori-2-88760,9,/fighter/Brad-Riddell-252693,/fighter/Drew-Dober-23982,win,Decision,Unanimous,Marc Goddard,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,8,/fighter/Eryk-Anders-93407,/fighter/Darren-Stewart-128141,win,Decision,Unanimous,Jason Herzog,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,7,/fighter/Lauren-Murphy-66725,/fighter/Joanne-Calderwood-94103,win,Decision,Split,Herb Dean,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,6,/fighter/Movsar-Evloev-183539,/fighter/Hakeem-Dawodu-158725,win,Decision,Unanimous,Mike Beltran,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,5,/fighter/Pannie-Kianzad-99523,/fighter/Alexis-Davis-22071,win,Decision,Unanimous,Marc Goddard,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,4,/fighter/Terrance-McKinney-232591,/fighter/Matt-Frevola-100247,win,KO,Punches,Jason Herzog,1,00:07
/events/UFC-263-Adesanya-vs-Vettori-2-88760,3,/fighter/Steven-Peterson-60433,/fighter/Chase-Hooper-249301,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,2,/fighter/Fares-Ziam-184241,/fighter/Luigi-Vendramini-225223,win,Decision,Majority,Mike Beltran,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,1,/fighter/Carlos-Felipe-185021,/fighter/Jake-Collier-83599,win,Decision,Split,Al Guinee,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,13,/fighter/Jairzinho-Rozenstruik-102803,/fighter/Augusto-Sakai-87303,win," TKO",Punches," Herb Dean",1," 4:59"
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,12,/fighter/Marcin-Tybura-86928,/fighter/Walt-Harris-72046,win,TKO,Punches,Mark Smith,1,04:06
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,11,/fighter/Roman-Dolidze-240323,/fighter/Laureano-Staropoli-141271,win,Decision,Unanimous,Keith Peterson,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,10,/fighter/Santiago-Ponzinibbio-64593,/fighter/Miguel-Baeza-231403,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,9,/fighter/Gregory-Rodrigues-176275,/fighter/Dusko-Todorovic-207339,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,8,/fighter/Montana-De-La-Rosa-175479,/fighter/Ariane-Lipski-147487,win,TKO,Punches,Keith Peterson,2,04:27
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,7,/fighter/Ilir-Latifi-40207,/fighter/Tanner-Boser-114961,win,Decision,Split,Herb Dean,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,6,/fighter/Muslim-Salikhov-129929,/fighter/Francisco-Trinaldo-31103,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,5,/fighter/Kamuela-Kirk-162187,/fighter/Makwan-Amirkhani-69406,win,Decision,Unanimous,Keith Peterson,3,05:00
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,4,/fighter/Alan-Patrick-31096,/fighter/Mason-Jones-256311,NC,No Contest,Accidental Eye Poke,Chris Tognoni,2,02:14
/events/UFC-Fight-Night-189-Rozenstruik-vs-Sakai-88821,3,/fighter/Manon-Fiorot-228689,/fighter/Tabatha-Ricci-152919,win,TKO,Punches,Herb Dean,2,03:00
